drug1,drug2,cell,score,label
5-FU,ABT-888,A375,-1.198505438,0
5-FU,ABT-888,CAOV3,-5.139971221,0
5-FU,ABT-888,HT144,-3.701354746,0
5-FU,ABT-888,HT29,10.17343391,1
5-FU,ABT-888,LOVO,-8.979213946,0
5-FU,ABT-888,MSTO,-1.793073865,0
5-FU,ABT-888,NCIH1650,-5.996370297,0
5-FU,ABT-888,NCIH23,-5.042652306,0
5-FU,ABT-888,NCIH460,-6.611947917,0
5-FU,ABT-888,OV90,-10.06884761,0
5-FU,ABT-888,RKO,-2.677587786,0
5-FU,ABT-888,RPMI7951,-2.17322193,0
5-FU,ABT-888,SKMEL30,-36.45922958,0
5-FU,ABT-888,SKMES1,-0.086424579,0
5-FU,ABT-888,SW837,-14.52310863,0
5-FU,ABT-888,T47D,17.48579545,1
5-FU,ABT-888,UACC62,-1.583963783,0
5-FU,ABT-888,ZR751,-8.675317044,0
5-FU,AZD1775,A2058,13.05268744,1
5-FU,AZD1775,A2780,11.27727295,1
5-FU,AZD1775,CAOV3,23.98617954,1
5-FU,AZD1775,ES2,10.05752609,1
5-FU,AZD1775,HCT116,13.96127138,1
5-FU,AZD1775,HT29,-2.712205241,0
5-FU,AZD1775,KPL1,-2.061161349,0
5-FU,AZD1775,LOVO,-4.001507328,0
5-FU,AZD1775,MDAMB436,23.3811342,1
5-FU,AZD1775,MSTO,-32.99061919,0
5-FU,AZD1775,NCIH1650,10.77339767,1
5-FU,AZD1775,NCIH23,-7.115899185,0
5-FU,AZD1775,NCIH460,13.58269769,1
5-FU,AZD1775,OV90,-3.193651947,0
5-FU,AZD1775,RKO,19.33320151,1
5-FU,AZD1775,RPMI7951,16.72201512,1
5-FU,AZD1775,SKMES1,33.3532584,1
5-FU,AZD1775,SKOV3,18.74496394,1
5-FU,AZD1775,T47D,10.0383629,1
5-FU,AZD1775,UACC62,11.45935053,1
5-FU,AZD1775,VCAP,-0.998327533,0
5-FU,BEZ-235,A2058,13.6791116,1
5-FU,BEZ-235,HT29,11.89580272,1
5-FU,BEZ-235,KPL1,16.46284909,1
5-FU,BEZ-235,LNCAP,55.29129934,1
5-FU,BEZ-235,MDAMB436,18.97429236,1
5-FU,BEZ-235,MSTO,-8.321116212,0
5-FU,BEZ-235,NCIH1650,17.63815521,1
5-FU,BEZ-235,NCIH460,20.10041374,1
5-FU,BEZ-235,NCIH520,16.72179723,1
5-FU,BEZ-235,OV90,17.54707857,1
5-FU,BEZ-235,RKO,16.93600135,1
5-FU,BEZ-235,RPMI7951,12.70594985,1
5-FU,BEZ-235,SKMEL30,-73.13840165,0
5-FU,BEZ-235,SKMES1,21.2679035,1
5-FU,BEZ-235,SW620,12.02859024,1
5-FU,BEZ-235,T47D,106.0071924,1
5-FU,BEZ-235,VCAP,11.75742482,1
5-FU,BORTEZOMIB,A2058,-5.239878448,0
5-FU,BORTEZOMIB,A2780,-18.59912622,0
5-FU,BORTEZOMIB,A375,-2.405334783,0
5-FU,BORTEZOMIB,A427,-7.87670815,0
5-FU,BORTEZOMIB,CAOV3,-35.27304184,0
5-FU,BORTEZOMIB,ES2,-16.13012533,0
5-FU,BORTEZOMIB,HCT116,-4.51926945,0
5-FU,BORTEZOMIB,HT144,-14.56978258,0
